locus_tag	ftype	length_bp	gene	EC_number	COG	product
OIOADCLO_00046	CDS	336				zinc ribbon domain-containing protein YjdM
OIOADCLO_00047	gene	642				
OIOADCLO_00047	CDS	642				amino acid ABC transporter permease
OIOADCLO_00048	gene	630				
OIOADCLO_00048	CDS	630				amino acid ABC transporter ATP-binding protein
OIOADCLO_00049	gene	837				
OIOADCLO_00049	CDS	837				amino acid ABC transporter substrate-binding protein
OIOADCLO_00050	gene	774	cfa			
OIOADCLO_00050	CDS	774	cfa			CAMP factor pore-forming toxin Cfa
OIOADCLO_00051	gene	1236				
OIOADCLO_00051	CDS	1236				cation diffusion facilitator family transporter
OIOADCLO_00052	gene	1323				
OIOADCLO_00052	CDS	1323				sodium:alanine symporter family protein
OIOADCLO_00053	gene	2319	pcrA			
OIOADCLO_00053	CDS	2319	pcrA	3.6.4.12		DNA helicase PcrA
OIOADCLO_00054	gene	249				
OIOADCLO_00054	CDS	249				GlsB/YeaQ/YmgE family stress response membrane protein
OIOADCLO_00055	gene	588	amaP			
OIOADCLO_00055	CDS	588	amaP			alkaline shock response membrane anchor protein AmaP
OIOADCLO_00056	gene	189				
OIOADCLO_00056	CDS	189				hypothetical protein
OIOADCLO_00057	gene	540				
OIOADCLO_00057	CDS	540				Asp23/Gls24 family envelope stress response protein
OIOADCLO_00058	gene	201				
OIOADCLO_00058	CDS	201				CsbD family protein
OIOADCLO_00059	gene	489				
OIOADCLO_00059	CDS	489				Asp23/Gls24 family envelope stress response protein
OIOADCLO_00060	gene	642				
OIOADCLO_00060	CDS	642				GntR family transcriptional regulator
OIOADCLO_00061	gene	543				
OIOADCLO_00061	CDS	543				TetR/AcrR family transcriptional regulator
OIOADCLO_00062	gene	702				
OIOADCLO_00062	CDS	702				ABC transporter ATP-binding protein
OIOADCLO_00063	gene	2637				
OIOADCLO_00063	CDS	2637				FtsX-like permease family protein
OIOADCLO_00064	gene	597				
OIOADCLO_00064	CDS	597				restriction endonuclease subunit S
OIOADCLO_00065	gene	957				
OIOADCLO_00065	CDS	957				aromatic acid exporter family protein
OIOADCLO_00066	gene	1341				
OIOADCLO_00066	CDS	1341				hypothetical protein
OIOADCLO_00067	gene	885	truB			
OIOADCLO_00067	CDS	885	truB	5.4.99.25		tRNA pseudouridine(55) synthase TruB
OIOADCLO_00068	gene	933				
OIOADCLO_00068	CDS	933		2.7.1.26		bifunctional riboflavin kinase/FAD synthetase
OIOADCLO_00069	gene	405				
OIOADCLO_00069	CDS	405				Spx/MgsR family RNA polymerase-binding regulatory protein
OIOADCLO_00070	gene	279				
OIOADCLO_00070	CDS	279				hypothetical protein
OIOADCLO_00071	gene	789				
OIOADCLO_00071	CDS	789				inositol monophosphatase family protein
OIOADCLO_00072	gene	1311				
OIOADCLO_00072	CDS	1311				hypothetical protein
OIOADCLO_00073	gene	867				
OIOADCLO_00073	CDS	867				phosphate ABC transporter substrate-binding protein PstS family protein
OIOADCLO_00074	gene	936	pstC			
OIOADCLO_00074	CDS	936	pstC			phosphate ABC transporter permease subunit PstC
OIOADCLO_00075	gene	888	pstA			
OIOADCLO_00075	CDS	888	pstA			phosphate ABC transporter permease PstA
OIOADCLO_00076	gene	804	pstB_1			
OIOADCLO_00076	CDS	804	pstB_1	7.3.2.1		phosphate ABC transporter ATP-binding protein PstB
OIOADCLO_00077	gene	759	pstB_2			
OIOADCLO_00077	CDS	759	pstB_2	7.3.2.1		phosphate ABC transporter ATP-binding protein PstB
OIOADCLO_00078	gene	654	phoU			
OIOADCLO_00078	CDS	654	phoU			phosphate signaling complex protein PhoU
OIOADCLO_00079	gene	2538				
OIOADCLO_00079	CDS	2538				M1 family metallopeptidase
OIOADCLO_00080	gene	675				
OIOADCLO_00080	CDS	675				response regulator transcription factor
OIOADCLO_00081	gene	1311				
OIOADCLO_00081	CDS	1311				HAMP domain-containing histidine kinase
OIOADCLO_00082	gene	234	rpsT			
OIOADCLO_00082	CDS	234	rpsT			30S ribosomal protein S20
OIOADCLO_00083	gene	921	coaA			
OIOADCLO_00083	CDS	921	coaA	2.7.1.33		type I pantothenate kinase
OIOADCLO_00084	gene	588				
OIOADCLO_00084	CDS	588				class I SAM-dependent methyltransferase
OIOADCLO_00085	gene	390				
OIOADCLO_00085	CDS	390		3.5.4.5		cytidine deaminase
OIOADCLO_00086	gene	1053				
OIOADCLO_00086	CDS	1053				BMP family protein
OIOADCLO_00087	gene	1533				
OIOADCLO_00087	CDS	1533				ABC transporter ATP-binding protein
OIOADCLO_00088	gene	1065				
OIOADCLO_00088	CDS	1065				ABC transporter permease
OIOADCLO_00089	gene	957				
OIOADCLO_00089	CDS	957				ABC transporter permease
OIOADCLO_00090	gene	1719				
OIOADCLO_00090	CDS	1719				phospho-sugar mutase
OIOADCLO_00091	gene	570				
OIOADCLO_00091	CDS	570				ECF transporter S component
OIOADCLO_00092	gene	546	coaC			
OIOADCLO_00092	CDS	546	coaC	4.1.1.36		phosphopantothenoylcysteine decarboxylase
OIOADCLO_00093	gene	693	coaB			
OIOADCLO_00093	CDS	693	coaB	6.3.2.5		phosphopantothenate--cysteine ligase
OIOADCLO_00094	gene	837				
OIOADCLO_00094	CDS	837				lipoate--protein ligase family protein
OIOADCLO_00095	gene	1200				
OIOADCLO_00095	CDS	1200				NADH-dependent flavin oxidoreductase
OIOADCLO_00096	gene	999				
OIOADCLO_00096	CDS	999				LLM class flavin-dependent oxidoreductase
OIOADCLO_00097	gene	333				
OIOADCLO_00097	CDS	333				glycine cleavage system protein H
OIOADCLO_00098	gene	813				
OIOADCLO_00098	CDS	813				protein-ADP-ribose hydrolase
OIOADCLO_00099	gene	882				
OIOADCLO_00099	CDS	882				NAD-dependent deacetylase
OIOADCLO_00100	gene	1020				
OIOADCLO_00100	CDS	1020				lipoate--protein ligase
OIOADCLO_00101	gene	1671				
OIOADCLO_00101	CDS	1671		6.3.4.3		formate--tetrahydrofolate ligase
OIOADCLO_00102	gene	1578	cls			
OIOADCLO_00102	CDS	1578	cls			cardiolipin synthase
OIOADCLO_00103	gene	357				
OIOADCLO_00103	CDS	357				ATP cone domain-containing protein
OIOADCLO_00104	gene	1269				
OIOADCLO_00104	CDS	1269				PLP-dependent aminotransferase family protein
OIOADCLO_00105	gene	867				
OIOADCLO_00105	CDS	867		2.7.1.35		pyridoxamine kinase
OIOADCLO_00106	gene	558				
OIOADCLO_00106	CDS	558				ECF transporter S component
OIOADCLO_00107	gene	1545				
OIOADCLO_00107	CDS	1545				ATP-binding cassette domain-containing protein
OIOADCLO_00108	gene	1224				
OIOADCLO_00108	CDS	1224				aminoacyltransferase
OIOADCLO_00109	gene	1563	guaA			
OIOADCLO_00109	CDS	1563	guaA	6.3.5.2		glutamine-hydrolyzing GMP synthase
OIOADCLO_00110	gene	1434				
OIOADCLO_00110	CDS	1434				hypothetical protein
OIOADCLO_00111	gene	699				
OIOADCLO_00111	CDS	699				GntR family transcriptional regulator
OIOADCLO_00112	gene	342				
OIOADCLO_00112	CDS	342				putative DNA-binding protein
OIOADCLO_00113	gene	1563	ffh			
OIOADCLO_00113	CDS	1563	ffh			signal recognition particle protein
OIOADCLO_00114	gene	699				
OIOADCLO_00114	CDS	699				helix-turn-helix transcriptional regulator
OIOADCLO_00115	gene	1071	xerS			
OIOADCLO_00115	CDS	1071	xerS			tyrosine recombinase XerS
OIOADCLO_00116	gene	483				
OIOADCLO_00116	CDS	483				PASTA domain-containing protein
OIOADCLO_00117	gene	1053	citC			
OIOADCLO_00117	CDS	1053	citC	6.2.1.22		[citrate (pro-3S)-lyase] ligase
OIOADCLO_00118	gene	1395				
OIOADCLO_00118	CDS	1395		4.1.1.112		oxaloacetate decarboxylase subunit alpha
OIOADCLO_00119	gene	579	citX			
OIOADCLO_00119	CDS	579	citX	2.7.7.61		citrate lyase holo-[acyl-carrier protein] synthase
OIOADCLO_00120	gene	1533	citF			
OIOADCLO_00120	CDS	1533	citF	2.8.3.10		citrate lyase subunit alpha
OIOADCLO_00121	gene	888	citE			
OIOADCLO_00121	CDS	888	citE	4.1.3.34		citrate (pro-3S)-lyase subunit beta
OIOADCLO_00122	gene	309	citD			
OIOADCLO_00122	CDS	309	citD	4.1.3.6		citrate lyase acyl carrier protein
OIOADCLO_00123	gene	135				
OIOADCLO_00123	CDS	135				hypothetical protein
OIOADCLO_00124	gene	1122				
OIOADCLO_00124	CDS	1122				sodium ion-translocating decarboxylase subunit beta
OIOADCLO_00125	gene	399				
OIOADCLO_00125	CDS	399				acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
OIOADCLO_00126	gene	324				
OIOADCLO_00126	CDS	324				hypothetical protein
OIOADCLO_00127	gene	1404				
OIOADCLO_00127	CDS	1404				CitMHS family transporter
OIOADCLO_00128	gene	696				
OIOADCLO_00128	CDS	696				GntR family transcriptional regulator
OIOADCLO_00129	gene	885	citG			
OIOADCLO_00129	CDS	885	citG	2.4.2.52		triphosphoribosyl-dephospho-CoA synthase CitG
OIOADCLO_00130	gene	1131				
OIOADCLO_00130	CDS	1131				sodium ion-translocating decarboxylase subunit beta
OIOADCLO_00131	gene	351				
OIOADCLO_00131	CDS	351				biotin/lipoyl-binding protein
OIOADCLO_00132	gene	315				
OIOADCLO_00132	CDS	315				membrane protein
OIOADCLO_00133	gene	1383				
OIOADCLO_00133	CDS	1383		6.4.1.1		pyruvate carboxylase subunit B
OIOADCLO_00134	gene	1347	trmFO			
OIOADCLO_00134	CDS	1347	trmFO			methylenetetrahydrofolate--tRNA-(uracil(54)- C(5))-methyltransferase (FADH(2)-oxidizing) TrmFO
OIOADCLO_00135	gene	717				
OIOADCLO_00135	CDS	717				hypothetical protein
OIOADCLO_00136	gene	666				
OIOADCLO_00136	CDS	666				hypothetical protein
OIOADCLO_00137	gene	993	ldhD			
OIOADCLO_00137	CDS	993	ldhD	1.1.1.28	COG1052	D-lactate dehydrogenase
OIOADCLO_00138	gene	546				
OIOADCLO_00138	CDS	546				hypothetical protein
OIOADCLO_00139	gene	483				
OIOADCLO_00139	CDS	483				hypothetical protein
OIOADCLO_00140	gene	2130	topA			
OIOADCLO_00140	CDS	2130	topA	5.6.2.1		type I DNA topoisomerase
OIOADCLO_00141	gene	837	dprA			
OIOADCLO_00141	CDS	837	dprA			DNA-processing protein DprA
OIOADCLO_00142	gene	792				
OIOADCLO_00142	CDS	792		3.1.26.4		ribonuclease HII
OIOADCLO_00143	gene	849	ylqF			
OIOADCLO_00143	CDS	849	ylqF			ribosome biogenesis GTPase YlqF
OIOADCLO_00144	gene	441				
OIOADCLO_00144	CDS	441				hypothetical protein
OIOADCLO_00145	gene	651				
OIOADCLO_00145	CDS	651				hemolysin III family protein
OIOADCLO_00146	gene	912				
OIOADCLO_00146	CDS	912				diacylglycerol kinase family lipid kinase
OIOADCLO_00147	gene	369				
OIOADCLO_00147	CDS	369				hypothetical protein
OIOADCLO_00148	gene	120				
OIOADCLO_00148	CDS	120				hypothetical protein
OIOADCLO_00149	gene	414				
OIOADCLO_00149	CDS	414				VOC family protein
OIOADCLO_00150	gene	750				
OIOADCLO_00150	CDS	750				sortase
OIOADCLO_00151	gene	2487	gyrA			
OIOADCLO_00151	CDS	2487	gyrA	5.6.2.2		DNA gyrase subunit A
OIOADCLO_00152	gene	984				
OIOADCLO_00152	CDS	984		1.1.1.27		L-lactate dehydrogenase
OIOADCLO_00153	gene	1371				
OIOADCLO_00153	CDS	1371				FAD-dependent oxidoreductase
OIOADCLO_00154	gene	1728				
OIOADCLO_00154	CDS	1728				ABC transporter ATP-binding protein/permease
OIOADCLO_00155	gene	1725				
OIOADCLO_00155	CDS	1725				ABC transporter ATP-binding protein/permease
OIOADCLO_00156	gene	600				
OIOADCLO_00156	CDS	600				lysozyme family protein
OIOADCLO_00157	gene	978				
OIOADCLO_00157	CDS	978				nucleoid-associated protein
OIOADCLO_00158	gene	1257				
OIOADCLO_00158	CDS	1257				serine hydroxymethyltransferase
OIOADCLO_00159	gene	453				
OIOADCLO_00159	CDS	453				GNAT family N-acetyltransferase
OIOADCLO_00160	gene	591				
OIOADCLO_00160	CDS	591		2.7.7.87		L-threonylcarbamoyladenylate synthase
OIOADCLO_00161	gene	840	prmC			
OIOADCLO_00161	CDS	840	prmC	2.1.1.297		peptide chain release factor N(5)-glutamine methyltransferase
OIOADCLO_00162	gene	1080	prfA			
OIOADCLO_00162	CDS	1080	prfA			peptide chain release factor 1
OIOADCLO_00163	gene	570				
OIOADCLO_00163	CDS	570		2.7.1.21		thymidine kinase
OIOADCLO_00164	gene	186				
OIOADCLO_00164	CDS	186		5.3.2.6		4-oxalocrotonate tautomerase
OIOADCLO_00165	gene	939				
OIOADCLO_00165	CDS	939				FAD:protein FMN transferase
OIOADCLO_00166	gene	1284				
OIOADCLO_00166	CDS	1284				purine permease
OIOADCLO_00167	gene	582				
OIOADCLO_00167	CDS	582		2.4.2.22		xanthine phosphoribosyltransferase
OIOADCLO_00168	gene	984	guaC			
OIOADCLO_00168	CDS	984	guaC	1.7.1.7		GMP reductase
OIOADCLO_00169	gene	1527				
OIOADCLO_00169	CDS	1527				ABC transporter permease/substrate-binding protein
OIOADCLO_00170	gene	729				
OIOADCLO_00170	CDS	729				ABC transporter ATP-binding protein
OIOADCLO_00171	gene	690				
OIOADCLO_00171	CDS	690				hypothetical protein
OIOADCLO_00172	gene	159				
OIOADCLO_00172	CDS	159				SDR family NAD(P)-dependent oxidoreductase
OIOADCLO_00173	gene	618				
OIOADCLO_00173	CDS	618				SDR family NAD(P)-dependent oxidoreductase
OIOADCLO_00174	gene	996	pta			
OIOADCLO_00174	CDS	996	pta	2.3.1.8		phosphate acetyltransferase
OIOADCLO_00175	gene	906				
OIOADCLO_00175	CDS	906				RluA family pseudouridine synthase
OIOADCLO_00176	gene	837				
OIOADCLO_00176	CDS	837		2.7.1.23		NAD kinase
OIOADCLO_00177	gene	672				
OIOADCLO_00177	CDS	672				GTP pyrophosphokinase family protein
OIOADCLO_00178	gene	579				
OIOADCLO_00178	CDS	579				CYTH domain-containing protein
OIOADCLO_00179	gene	981				
OIOADCLO_00179	CDS	981		2.7.6.1		ribose-phosphate diphosphokinase
OIOADCLO_00180	gene	1128				
OIOADCLO_00180	CDS	1128				cysteine desulfurase
OIOADCLO_00181	gene	348				
OIOADCLO_00181	CDS	348				hypothetical protein
OIOADCLO_00182	gene	645				
OIOADCLO_00182	CDS	645				redox-sensing transcriptional repressor Rex
OIOADCLO_00183	gene	696				
OIOADCLO_00183	CDS	696				gamma-glutamyl-gamma-aminobutyrate hydrolase family protein
OIOADCLO_00184	gene	681	radC			
OIOADCLO_00184	CDS	681	radC			DNA repair protein RadC
OIOADCLO_00185	gene	1128				
OIOADCLO_00185	CDS	1128				AI-2E family transporter
OIOADCLO_00186	gene	615				
OIOADCLO_00186	CDS	615				SGNH/GDSL hydrolase family protein
OIOADCLO_00187	gene	1533				
OIOADCLO_00187	CDS	1533				ClC family H(+)/Cl(-) exchange transporter
OIOADCLO_00188	gene	732	aphA			
OIOADCLO_00188	CDS	732	aphA	3.1.3.2		acid phosphatase AphA
OIOADCLO_00189	gene	1092				
OIOADCLO_00189	CDS	1092				zinc-dependent alcohol dehydrogenase family protein
OIOADCLO_00190	gene	1167				
OIOADCLO_00190	CDS	1167				NADP-dependent malic enzyme
OIOADCLO_00191	gene	1332				
OIOADCLO_00191	CDS	1332				2-hydroxycarboxylate transporter family protein
OIOADCLO_00192	gene	1542				
OIOADCLO_00192	CDS	1542				sensor histidine kinase
OIOADCLO_00193	gene	666				
OIOADCLO_00193	CDS	666				response regulator
OIOADCLO_00194	gene	1074				
OIOADCLO_00194	CDS	1074				ABC transporter substrate-binding protein
OIOADCLO_00195	gene	777				
OIOADCLO_00195	CDS	777				ABC transporter permease
OIOADCLO_00196	gene	795				
OIOADCLO_00196	CDS	795				ABC transporter permease
OIOADCLO_00197	gene	1155				
OIOADCLO_00197	CDS	1155				ABC transporter ATP-binding protein
OIOADCLO_00198	gene	888	murB			
OIOADCLO_00198	CDS	888	murB	1.3.1.98		UDP-N-acetylmuramate dehydrogenase
OIOADCLO_00199	gene	501	folK			
OIOADCLO_00199	CDS	501	folK	2.7.6.3		2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase
OIOADCLO_00200	gene	360	folB			
OIOADCLO_00200	CDS	360	folB	4.1.2.25		dihydroneopterin aldolase
OIOADCLO_00201	gene	801	folP			
OIOADCLO_00201	CDS	801	folP	2.5.1.15		dihydropteroate synthase
OIOADCLO_00202	gene	585	folE			
OIOADCLO_00202	CDS	585	folE	3.5.4.16		GTP cyclohydrolase I FolE
OIOADCLO_00203	gene	1278				
OIOADCLO_00203	CDS	1278				bifunctional folylpolyglutamate synthase/dihydrofolate synthase
OIOADCLO_00204	gene	963				
OIOADCLO_00204	CDS	963				polysaccharide deacetylase family protein
OIOADCLO_00205	gene	1206	pbp3_1			
OIOADCLO_00205	CDS	1206	pbp3_1	3.4.16.4		D-alanyl-D-alanine carboxypeptidase PBP3
OIOADCLO_00206	gene	384				
OIOADCLO_00206	CDS	384				hypothetical protein
OIOADCLO_00207	gene	222				
OIOADCLO_00207	CDS	222				hypothetical protein
OIOADCLO_00208	gene	222				
OIOADCLO_00208	CDS	222				hypothetical protein
OIOADCLO_00209	gene	132				
OIOADCLO_00209	CDS	132				hypothetical protein
OIOADCLO_00210	gene	219				
OIOADCLO_00210	CDS	219				hypothetical protein
OIOADCLO_00211	gene	723				
OIOADCLO_00211	CDS	723				hypothetical protein
OIOADCLO_00212	gene	750				
OIOADCLO_00212	CDS	750				hypothetical protein
OIOADCLO_00213	gene	690				
OIOADCLO_00213	CDS	690				ABC transporter ATP-binding protein
OIOADCLO_00214	gene	618	btuD			
OIOADCLO_00214	CDS	618	btuD	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OIOADCLO_00215	gene	141	srtA			
OIOADCLO_00215	CDS	141	srtA			Lantibiotic streptin
OIOADCLO_00216	gene	1347	rcsC			
OIOADCLO_00216	CDS	1347	rcsC	2.7.13.3		Sensor histidine kinase RcsC
OIOADCLO_00217	gene	687	yycF_1			
OIOADCLO_00217	CDS	687	yycF_1			response regulator YycF
OIOADCLO_00218	gene	696				
OIOADCLO_00218	CDS	696				hypothetical protein
OIOADCLO_00219	gene	210				
OIOADCLO_00219	CDS	210				hypothetical protein
OIOADCLO_00220	gene	324				
OIOADCLO_00220	CDS	324				hypothetical protein
OIOADCLO_00221	gene	369				
OIOADCLO_00221	CDS	369				hypothetical protein
OIOADCLO_00222	gene	366	rplL			
OIOADCLO_00222	CDS	366	rplL			50S ribosomal protein L7/L12
OIOADCLO_00223	gene	501	rplJ			
OIOADCLO_00223	CDS	501	rplJ			50S ribosomal protein L10
OIOADCLO_00224	gene	1377	mnmE			
OIOADCLO_00224	CDS	1377	mnmE			tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
OIOADCLO_00225	gene	1410	pepV			
OIOADCLO_00225	CDS	1410	pepV	3.4.13.-		dipeptidase PepV
OIOADCLO_00226	gene	603				
OIOADCLO_00226	CDS	603				nitroreductase family protein
OIOADCLO_00227	gene	1797	uvrC			
OIOADCLO_00227	CDS	1797	uvrC			excinuclease ABC subunit UvrC
OIOADCLO_00228	gene	1398				
OIOADCLO_00228	CDS	1398				NAD-dependent succinate-semialdehyde dehydrogenase
OIOADCLO_00229	gene	702				
OIOADCLO_00229	CDS	702				HAD family hydrolase
OIOADCLO_00230	gene	567				
OIOADCLO_00230	CDS	567		2.3.1.-		Putative acetyltransferase
OIOADCLO_00231	gene	348				
OIOADCLO_00231	CDS	348				hypothetical protein
OIOADCLO_00232	gene	1047				
OIOADCLO_00232	CDS	1047				extracellular solute-binding protein
OIOADCLO_00233	gene	789				
OIOADCLO_00233	CDS	789				response regulator
OIOADCLO_00234	gene	1650				
OIOADCLO_00234	CDS	1650				sensor histidine kinase
OIOADCLO_00235	gene	828				
OIOADCLO_00235	CDS	828				PTS system mannose/fructose/sorbose family transporter subunit IID
OIOADCLO_00236	gene	810				
OIOADCLO_00236	CDS	810				PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC
OIOADCLO_00237	gene	492				
OIOADCLO_00237	CDS	492				PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB
OIOADCLO_00238	gene	426				
OIOADCLO_00238	CDS	426				PTS sugar transporter subunit IIA
OIOADCLO_00239	gene	1020				
OIOADCLO_00239	CDS	1020				YeiH family protein
OIOADCLO_00240	gene	438	msrB_1			
OIOADCLO_00240	CDS	438	msrB_1	1.8.4.12		peptide-methionine (R)-S-oxide reductase MsrB
OIOADCLO_00241	gene	882	scl1_1			
OIOADCLO_00241	CDS	882	scl1_1			LPXTG-anchored collagen-like adhesin Scl1/SclA
OIOADCLO_00242	gene	1833	lepA			
OIOADCLO_00242	CDS	1833	lepA	3.6.5.-		translation elongation factor 4
OIOADCLO_00243	gene	198				
OIOADCLO_00243	CDS	198				nucleoside-diphosphate kinase
	repeat_region	234				
OIOADCLO_00244	gene	663	csn2			
OIOADCLO_00244	CDS	663	csn2			type II-A CRISPR-associated protein Csn2
OIOADCLO_00245	gene	312	cas2_1			
OIOADCLO_00245	CDS	312	cas2_1			CRISPR-associated endonuclease Cas2
OIOADCLO_00246	gene	870	cas1_1			
OIOADCLO_00246	CDS	870	cas1_1			type II CRISPR-associated endonuclease Cas1
OIOADCLO_00247	gene	2289	cas9_1			
OIOADCLO_00247	CDS	2289	cas9_1			type II CRISPR RNA-guided endonuclease Cas9
OIOADCLO_00248	gene	1848	cas9_2			
OIOADCLO_00248	CDS	1848	cas9_2			type II CRISPR RNA-guided endonuclease Cas9
OIOADCLO_00249	gene	633				
OIOADCLO_00249	CDS	633				TIGR01906 family membrane protein
OIOADCLO_00250	gene	765				
OIOADCLO_00250	CDS	765				TIGR01457 family HAD-type hydrolase
OIOADCLO_00251	gene	753				
OIOADCLO_00251	CDS	753				acyl-[acyl-carrier-protein] thioesterase
OIOADCLO_00252	gene	1197	hemW			
OIOADCLO_00252	CDS	1197	hemW			radical SAM family heme chaperone HemW
OIOADCLO_00253	gene	642				
OIOADCLO_00253	CDS	642				hypothetical protein
OIOADCLO_00254	gene	1356	glmM			
OIOADCLO_00254	CDS	1356	glmM	5.4.2.10		phosphoglucosamine mutase
OIOADCLO_00255	gene	957				
OIOADCLO_00255	CDS	957				YbbR-like domain-containing protein
OIOADCLO_00256	gene	852	cdaA			
OIOADCLO_00256	CDS	852	cdaA	2.7.7.85		diadenylate cyclase CdaA
OIOADCLO_00257	gene	1338				
OIOADCLO_00257	CDS	1338				Mur ligase family protein
OIOADCLO_00258	gene	792				
OIOADCLO_00258	CDS	792				type 1 glutamine amidotransferase
OIOADCLO_00259	gene	990				
OIOADCLO_00259	CDS	990		6.3.1.20		lipoate--protein ligase
OIOADCLO_00260	gene	2418	hylA			
OIOADCLO_00260	CDS	2418	hylA			hyaluronidase
OIOADCLO_00261	gene	1764	lpdA			
OIOADCLO_00261	CDS	1764	lpdA	1.8.1.4		dihydrolipoyl dehydrogenase
OIOADCLO_00262	gene	1410				
OIOADCLO_00262	CDS	1410				dihydrolipoamide acetyltransferase
OIOADCLO_00263	gene	1002				
OIOADCLO_00263	CDS	1002				alpha-ketoacid dehydrogenase subunit beta
OIOADCLO_00264	gene	969				
OIOADCLO_00264	CDS	969				thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha
OIOADCLO_00265	gene	1908				
OIOADCLO_00265	CDS	1908				ABC-F family ATP-binding cassette domain-containing protein
